,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
1882,Treeble,Community Level Deux,,7.53,21,3016,18-Aug-2006
1883,staticon,Community Level Deux,,7.53,21,3016,18-Aug-2006
1884,TombRaiderFan,Community Level Deux,,7.53,21,3016,18-Aug-2006
1885,Sakusha,Valeria Messalina's Lair,,6.31,27,1340,16-Aug-2006
1886,Mara Croft,The Zoprium Project 1 - The Strange Lab of Nevada,,8.45,86,3559,16-Aug-2006
1887,Danilo Rocha,The Zoprium Project 1 - The Strange Lab of Nevada,,8.45,86,3559,16-Aug-2006
1888,Renato Wanser,The Zoprium Project 1 - The Strange Lab of Nevada,,8.45,86,3559,16-Aug-2006
1889,Tombcool,Purgatory 2,,8.41,108,2978,16-Aug-2006
1890,Raider X,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1891,Bojrkraider,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1892,EssGee,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1893,Titak,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1894,GMac,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1895,Cowboy,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1896,Dhama,Coyote Creek,medium,9.52,160,9230,12-Aug-2006
1897,Zolee,Exotic Adventure in Ghana,,5.26,24,1949,12-Aug-2006
1898,Naphal,London's Armageddon,,7.72,15,1411,03-Aug-2006
1899,illyaine,Catacomb Moments,,7.85,7,1571,01-Aug-2006
1900,Aza,Jutmundus 1 - The Gatehouse,,8.53,22,1840,01-Aug-2006
1901,mugs,The Blue Pi,,7.30,33,1932,30-Jul-2006
1902,Mr XY,The Castle of the Holy Treasure,medium,7.93,26,2517,23-Jul-2006
1903,Lara Croft,Stranded (Gestrandet),,6.21,52,1949,21-Jul-2006
1904,Max,Symbol of the World 2,,8.05,55,3068,19-Jul-2006
1905,Die Basis,Maya Legends - Part 1: Maya Remains,,8.31,33,2050,19-Jul-2006
1906,Samu,Egyptian Adventure - Part 2,,6.65,15,1190,18-Jul-2006
1907,tombraiderluka,Dagger of the Secret Jungle,,3.69,34,1478,15-Jul-2006
1908,B. Howaito,Doctor Who in the Venizian Venice,,4.26,21,1444,15-Jul-2006
1909,Clara,Clara's Home,medium,7.85,57,3408,11-Jul-2006
1910,Hochgiftig,Temple Beneath,easy,7.87,25,1589,11-Jul-2006
1911,Mr.TombRaider,Highland Ruins,,5.43,25,1271,10-Jul-2006
1912,Necro,Necro's Domain 6 - Lost in the Catacombs,,7.20,53,1688,29-Jun-2006
1913,tomb gamer,The Amulet of Anubis,,6.67,27,1282,29-Jun-2006
1914,Indiko,Quarter of the Dead,,3.44,14,1142,25-Jun-2006
1915,Lukasz Croft,Temple of Tibet,,7.93,52,2021,25-Jun-2006
1916,Luke,The Secret Gate 1 - Desert Temple,,8.30,38,1862,24-Jun-2006
1917,masha,Castle Riverrun - Part II,,9.35,54,2930,23-Jun-2006
1918,Jessy,The Parallel World (Demo) - Pentagon,,4.25,15,1175,19-Jun-2006
1919,Revelation,The Final Countdown (Demo),,2.55,74,1815,19-Jun-2006
1920,Samu,Egyptian Adventure,,6.25,19,1284,19-Jun-2006
1921,tombraiderluka,Temple of Darkness 2,,2.66,24,1257,15-Jun-2006
1922,BaGi,Hurry Up 2,,6.18,22,1423,09-Jun-2006
1923,B. Howaito,Mortualia de Rigor,,4.28,21,1247,06-Jun-2006
1924,Katya,Valentianum,,7.78,32,1527,05-Jun-2006
1925,dantheraider,The Dukes of Hazzard,easy,5.59,46,1563,04-Jun-2006
1926,B. Howaito,Doctor Who and the Abnormally Odd Apartment,,3.45,17,1391,04-Jun-2006
1927,Trey,The Ancient Stone Saga - City of Marostica (Demo v2.0),,7.13,43,1674,30-May-2006
1928,Lukasz Croft,Pakistan (Demo),,5.77,46,1678,28-May-2006
1929,Razyel,Return to Egypt 3 - The Lost Temple,,6.63,13,1168,28-May-2006
1930,Max,Symbol of the World,,7.14,17,2441,28-May-2006
1931,dennis16,The Crystals of Amun,medium,9.11,111,4055,27-May-2006
1932,tombraiderluka,Temple of Darkness,easy,0.78,14,1163,27-May-2006
1933,Razyel,Return to Egypt 2 - Cleopatra's Palace,,6.71,18,1175,23-May-2006
1934,posyd,The Legend of Chaaba 1 - The Tomb of Kassua,,6.43,16,1227,21-May-2006
1935,Bag,Welcome to the Dino Island,,6.50,36,1553,12-May-2006
1936,TimJ,The Sacred Temple,medium,7.70,16,1388,10-May-2006
1937,Slash,Still Running Lara Croft,,5.91,30,1803,07-May-2006
1938,Schmittt,Catacombs of the Serpent,medium,8.35,39,2346,07-May-2006
1939,JMN,Tomb Raider The Nightmare,,8.24,157,4603,07-May-2006
1940,Lukasz Croft,Underwater Exploration of Wreck 1,,7.14,22,1736,01-May-2006
1941,Razyel,Return to Egypt 1 - Tomb of Set,,5.39,11,1282,01-May-2006
1942,TC14,The Quest of Gold 9-13 - Korean Levels,challenging,9.39,267,5121,27-Apr-2006
1943,Dark Death,Indra Artefact (Demo),,7.64,16,1698,26-Apr-2006
1944,peacefrog,The Lazarus Curse,,9.13,170,4563,25-Apr-2006
1945,Miro,Alone in the Dark,medium,7.35,28,2028,20-Apr-2006
1946,Binibe,The Lost Armor of Horus 1 - The Wreck,,7.79,22,1614,18-Apr-2006
1947,Agnes,Summer,easy,7.85,44,2209,16-Apr-2006
1948,Landavia,Lara's Meeting,,5.72,21,1261,14-Apr-2006
1949,trplayer,Hanging Gardens of Babylon,,8.45,35,1685,12-Apr-2006
1950,ColeMoles,Lara's Last Confession,,1.10,22,1424,08-Apr-2006
1951,Ruediger,Victims of the Blood Goddess,,7.25,32,1540,07-Apr-2006
1952,B. Howaito,Return to the Cartoon World,,2.54,26,1358,26-Mar-2006
1953,Lukasz Croft,Night in Vegas,,6.13,62,2711,25-Mar-2006
1954,B. Howaito,Cartoon World,,2.00,17,1650,18-Mar-2006
1955,$Sim$,The Silver Eye (Das Silber Auge),easy,6.39,49,2295,17-Mar-2006
1956,B. Howaito,The Fatal Death Trap,easy,0.78,16,1314,16-Mar-2006
1957,Marcos,The Holy Mission,,8.04,75,10833,12-Mar-2006
1958,dennis16,The Red Pyramid,,6.05,43,1571,11-Mar-2006
1959,illyaine,The Sand Temple,medium,7.59,7,2353,09-Mar-2006
1960,JesseG,Tomb Raider: The Wolf,,7.42,75,2527,08-Mar-2006
1961,Greywolf,The Lost Pyramid,,5.58,21,1400,02-Mar-2006
1962,Rezaffiro,The Great Wall,,5.65,32,1406,01-Mar-2006
1963,Koldo,Ghana V2.0 (Demo),,2.00,20,1374,27-Feb-2006
1964,Drakan,Return towards the Light,,6.41,16,1489,25-Feb-2006
1965,Agnes,Rustay,challenging,9.02,94,3998,18-Feb-2006
