,Author,Level Name,Difficulty,Ratings,Size (MBs),Downloads,Release Date
2326,L.Croft,The Howling Mansion,easy,6.88,14,1276,16-May-2004
2327,Croft Storm,Origins of Evil,easy,6.34,17,1399,15-May-2004
2328,BlingBlingBrat,The Chamber of Elements,,7.46,18,1899,11-May-2004
2329,Beck,TR2 Test Levels,easy,1.51,10,1419,10-May-2004
2330,Steve,The Murderer's Hiding Place,,6.44,27,1673,07-May-2004
2331,TRWad,TRSearch HQ - Birthday Edition,,4.14,19,2182,05-May-2004
2332,Evgeni Popov,TR2 Test Levels,easy,3.04,10,1907,03-May-2004
2333,Wall_TR,Lara Croft: Silent Hill 2 - Albergo Maria,easy,6.25,16,1629,01-May-2004
2334,Richard Lawther,Underworld UB1 - Recruiting Demon Smalls,medium,9.85,58,5259,27-Apr-2004
2335,Luigi,Cafe Metro,,2.77,17,1535,24-Apr-2004
2336,Oxy,Ghost Library,,8.98,33,3305,24-Apr-2004
2337,tombrdr,Sand Castle Sequel,,8.48,23,1555,20-Apr-2004
2338,TimJ,The Dream,medium,7.21,20,1643,19-Apr-2004
2339,LaraLevelbauer,Queen of the Cats,,7.12,23,1365,17-Apr-2004
2340,Sakusha,The Tomb of Aristotle,medium,4.75,18,1246,17-Apr-2004
2341,Jamie White,Cobra's Lair,,6.23,28,1381,07-Apr-2004
2342,Adam Dzyndzynier,Test Levels,,0.98,16,1217,06-Apr-2004
2343,Trix,Aegean Legends,,9.53,85,4333,01-Apr-2004
2344,Daoine Sidhe,The Temple Ruin,,7.50,19,1497,29-Mar-2004
2345,Iceberg,Test Levels,easy,1.48,17,1158,28-Mar-2004
2346,Agnes,Candy Mountain,,6.32,21,2362,25-Mar-2004
2347,Warhead,Red Ninja Dudes,,2.36,17,1132,24-Mar-2004
2348,Psiko,Tomb Raider A - The Techno Egyptians...,,9.77,340,9036,24-Mar-2004
2349,The Quad,Example Level,,3.91,17,1205,19-Mar-2004
2350,EssGee,Legend of the Golden Scorpion,very challenging,9.43,92,4436,19-Mar-2004
2351,Miss Kroft,Hanami in Kyoto,medium,9.12,52,3368,15-Mar-2004
2352,Tony Sinatra,Beyond the Myst (Demo),,6.23,22,1362,14-Mar-2004
2353,Blacksheep,Night School,,7.27,17,2069,13-Mar-2004
2354,Cuqui,Baketamon's Jewel,,8.48,45,1990,10-Mar-2004
2355,LePerk,Troglodyte Technology Part 1,medium,8.99,60,6521,10-Mar-2004
2356,Rapetou,Catacombs of Fog,,8.02,18,1335,09-Mar-2004
2357,GMac,Playtime,,7.86,33,1897,04-Mar-2004
2358,Turbo Pascal,Fenician Temple 4,,8.03,40,2062,29-Feb-2004
2359,Seifer Zero,Castle of Dark Illusions I / II,,5.15,24,1462,22-Feb-2004
2360,Elfy,Towards the City (Verso La Citta),,5.12,17,1216,19-Feb-2004
2361,Daoine Sidhe,The Tower,,6.87,20,1376,16-Feb-2004
2362,eTux,Armageddon's Temple 2 - The Deadly Curse,challenging,9.75,75,3415,15-Feb-2004
2363,Danilo Rocha,The Sacred Stones 3: The Wind Stone,,6.96,15,1630,15-Feb-2004
2364,Ruediger,Dancing on the Edge of Infinity,medium,7.44,16,1280,13-Feb-2004
2365,Hochgiftig,Within Discovery,,6.21,14,1274,13-Feb-2004
2366,Sakul,Sakul House (TR3),easy,4.53,20,1704,07-Feb-2004
2367,Daniele,The Lost Jungle,,5.66,32,1747,31-Jan-2004
2368,StormChaser,Diamond of Kashtuk,,7.60,18,1469,31-Jan-2004
2369,Danilo Rocha,The Sacred Stones 2: The VCI Labs,,6.72,14,1562,31-Jan-2004
2370,Dhama,Castle Doomsday 4 - Chronicles,,9.25,35,2199,27-Jan-2004
2371,Danilo Rocha,The Sacred Stones 1: The Stones Temple,,6.47,16,1564,24-Jan-2004
2372,Jens Allaert,The Search for the Amulet of Seth,,4.04,38,1541,23-Jan-2004
2373,GeckoKid,Gecko Valley,medium,5.74,14,3860,22-Jan-2004
2374,TRFan,Lost in the Pyramid,,3.27,19,1252,20-Jan-2004
2375,Batotel,City of Kupar,easy,6.19,14,1239,19-Jan-2004
2376,staticon,Lara's Dream 8,,8.31,52,2338,19-Jan-2004
2377,Richard Lawther,The Lizard King,medium,9.70,106,4550,14-Jan-2004
2378,Oxy,Harpy's House,medium,8.37,27,2118,13-Jan-2004
2379,Pedros,The Quest of the God of Life,,7.87,30,1548,11-Jan-2004
2380,Ernie,The Torch,,7.60,26,1482,09-Jan-2004
2381,Agnes,Arctic Hole 3,,8.50,67,2455,08-Jan-2004
2382,TRFan,Egyptian Adventure,easy,2.74,12,1161,07-Jan-2004
2383,Mikki,The Secret of the Tower,,6.67,20,1414,03-Jan-2004
2384,LaraLevelbauer,Indian Mountains,,6.20,37,1708,03-Jan-2004
2385,Richard Ba,Fortress 1,easy,5.38,22,1405,31-Dec-2003
2386,Miss Kroft,LB Advent Calendar 2003 - Christmas in Venice,medium,8.20,31,2503,24-Dec-2003
2387,B. Howaito,Test Level,easy,0.80,25,1365,23-Dec-2003
2388,masha,LB Advent Calendar 2003 - Chanukka,,7.19,22,1596,22-Dec-2003
2389,6 of 9,LB Advent Calendar 2003 - December 21st,easy,7.65,25,2127,21-Dec-2003
2390,Joker,Underground Kingdom,,8.05,81,2458,21-Dec-2003
2391,DeathMelody313,Forgotten Adventure,easy,2.58,14,1157,21-Dec-2003
2392,Yoshi,Hidden Castle,,7.50,63,2174,21-Dec-2003
2393,Agnes,LB Advent Calendar 2003 - Arctic Xmas,easy,7.13,31,1830,15-Dec-2003
2394,BaGi,LB Advent Calendar 2003 - Wintertime,,7.05,14,1469,14-Dec-2003
2395,Dark Death,LB Advent Calendar 2003 - Lara's House in the Mountains,easy,7.80,16,1736,13-Dec-2003
2396,Titak,Himalayan Mysteries - Part 1,,8.96,34,3343,12-Dec-2003
2397,Jedi Master,Legacy of the Gods,,9.68,143,5758,12-Dec-2003
2398,Sweet,LB Advent Calendar 2003 - Christmas in Tibet,,7.02,18,1490,11-Dec-2003
2399,Croft Storm,Labyrinth of Fire,,5.44,16,1142,07-Dec-2003
2400,The Vagrant,Cape Fear,medium,9.01,26,5867,06-Dec-2003
2401,Cuahiano Small,LB Advent Calendar 2003 - Santa Clause's Mansion,easy,7.11,18,1503,06-Dec-2003
2402,Juttae,LB Advent Calendar 2003 - December 5th,,7.95,27,1720,05-Dec-2003
2403,masha,LB Advent Calendar 2003 - One Thursday in Advent,,7.52,20,2024,04-Dec-2003
2404,BaGi,LB Advent Calendar 2003 - Wintertown,easy,7.43,27,1715,02-Dec-2003
2405,Raider X,The Lost Land - Palace Gates,,8.48,58,2071,30-Nov-2003
2406,Leo Sheng,Not Another Star Gate 1,easy,5.77,18,1166,28-Nov-2003
2407,Vinceborg,The Old Monastery,,5.75,25,1526,27-Nov-2003
2408,Gold Dragon,Temple of Misais,,2.71,20,1219,26-Nov-2003
2409,Ruediger,Facing the Spirits of the Dead,,7.10,18,1247,26-Nov-2003
2410,burt_ie,Archaeological Dig,,7.10,23,1581,20-Nov-2003
2411,Thierry  Stoorne,Setback 6 - Search for the Amulet,,8.32,66,2056,19-Nov-2003
2412,Oxy,Frosty Mansion,medium,9.18,27,2526,18-Nov-2003
2413,LeelooBastet,The Hangar,,7.36,18,1391,15-Nov-2003
2414,DaroRaider,Ice Heart: The Big Cavern,,7.57,31,1776,12-Nov-2003
2415,Katya,Sarnath,,6.81,26,1400,10-Nov-2003
2416,StormChaser,Scroll of Belhexera,,8.02,20,1679,10-Nov-2003
2417,Thor,Looking for Information,medium,4.25,15,1158,09-Nov-2003
2418,Voldemar777,Toni's Villa,medium,5.32,10,1675,01-Nov-2003
2419,uvavoo,Planet of the Ancients,,8.68,38,2525,29-Oct-2003
2420,Garfield,Lara never has a rest 5 -  Gone with the Water,,7.01,18,1214,29-Oct-2003
2421,Bojrkraider,The Experiment - Forgotten Cave (Demo),,8.93,21,2246,22-Oct-2003
2422,Oxy,Night Castle,easy,6.44,16,1720,21-Oct-2003
2423,Dean Cuthbert,Lara's Home Invasion,easy,3.43,13,1703,21-Oct-2003
2424,Croft Storm,Ship of the Night,,2.23,13,1173,18-Oct-2003
2425,Seemeister,Hunt for the Blue Hope II,,8.78,44,2444,17-Oct-2003
2426,Cbl,Indus Valley - The Baths of Harappa,,8.15,24,1359,08-Oct-2003
2427,Vincent Westerveld,Ballakunie,,6.56,26,1284,05-Oct-2003
2428,Wizzkiddo,Cleopatra's Palaces Revisited,,6.03,19,1192,02-Oct-2003
2429,Agnes,Arctic Hole 2,,8.18,57,2066,01-Oct-2003
2430,Mikel,The Witch Castle (Das Hexenschloss),,4.59,17,1180,30-Sep-2003
2431,GeckoKid,The Dawn - Tai Shan Episode,,7.75,48,2033,30-Sep-2003
2432,EssGee,bERT's World,easy,7.39,24,2075,28-Sep-2003
2433,Chicco,Search for the Statue of Horus 1/2,,4.86,33,1333,27-Sep-2003
2434,Otre,Egypt (Egitto),,5.25,15,1116,26-Sep-2003
2435,tombrdr,The Lost Realm of the Pharaos/The Hidden Tomb,challenging,8.69,41,2006,22-Sep-2003
2436,Thierry  Stoorne,Setback 5 - The Building Site,,7.93,66,2070,21-Sep-2003
2437,0330,Premium,,8.05,17,1958,16-Sep-2003
2438,Dean Cuthbert,The Antonia Grazia (revised),,3.94,12,1202,16-Sep-2003
2439,Richard Ba,Palace 1,,4.99,17,1132,13-Sep-2003
2440,Richard Ba,Egyptian Pyramid Temple,,4.49,17,1429,13-Sep-2003
2441,Richard Ba,Inner Sanctum,,4.68,16,1174,13-Sep-2003
2442,Richard Ba,Valley of Time,,4.67,17,1196,13-Sep-2003
2443,Otre,Mystery of the City,easy,3.54,14,1105,08-Sep-2003
2444,Aza,Sobek's Sanctuary,,7.53,18,1579,08-Sep-2003
2445,Ruediger,Last Night I dreamed of Karnak,,6.61,18,1201,06-Sep-2003
2446,Tabsdad,Outside the Crypts,,6.92,22,1231,05-Sep-2003
2447,Mikel,Enemy's Company (Die Firma des Feindes),,3.74,23,1323,05-Sep-2003
2448,Pedros,The Tomb of Khamoon,,7.75,18,1322,04-Sep-2003
2449,Juhani Piironen,Juhani's Levels,,6.21,41,1443,04-Sep-2003
2450,Miss Kroft,Walhalla,medium,9.55,98,4439,04-Sep-2003
2451,Dranok,Sehtepi's Crusade,easy,6.56,20,1306,03-Sep-2003
2452,Hochgiftig,Enemy in the Ice (Feind im Eis),,5.23,14,1221,03-Sep-2003
2453,Miguel,Back from Ninive,,8.59,24,1739,02-Sep-2003
2454,Malte Linder,Knights of the Cross,,7.71,34,1509,01-Sep-2003
2455,Raider Croft,Ice Heart 1 - Inside the Cave,,6.88,34,1648,30-Aug-2003
2456,justin,Dark Skies 8/9,challenging,8.54,126,2795,29-Aug-2003
2457,Devoid22,The Curse of Xian (Demo) - Marco's Mansion,medium,7.68,22,1478,28-Aug-2003
2458,Lorane,Stargate 1-3,,7.79,35,2103,28-Aug-2003
2459,Flo,Temple of Artemis,,5.47,19,1208,28-Aug-2003
2460,Cornchild,Egypt Revisited 2,,8.14,31,1609,24-Aug-2003
2461,GMac,The Jurassic Stone,,7.44,57,2146,19-Aug-2003
2462,UFO,Strange World 2 - Reactor Critical,,8.81,28,2484,16-Aug-2003
2463,Palopique,Strange World 2 - Reactor Critical,,8.81,28,2484,16-Aug-2003
2464,Titak,Jungle Fever,,8.49,39,3433,16-Aug-2003
2465,Baddy,Atlantis 2,,8.76,49,2433,15-Aug-2003
2466,Idealist,Tomb Raider Peru,,9.11,89,3832,15-Aug-2003
2467,Quik Silver,Sanctuary of Dreams,,4.42,16,1172,15-Aug-2003
2468,LePerk,Troglodyte Technology (Demo),,8.83,28,2073,14-Aug-2003
2469,Igor,Night Home Attack,easy,3.36,9,2385,12-Aug-2003
2470,Tabsdad,The Crypts,,7.40,26,1333,12-Aug-2003
2471,Juttae,Lara und der Wolf (Little Red Riding Hood),easy,7.71,19,2112,11-Aug-2003
2472,Pedros,Laboratory of Time-Space Technology,,7.66,26,1539,10-Aug-2003
2473,Raven of Asgard,Archives of Asgard,easy,3.97,9,1621,05-Aug-2003
2474,Mr. Feng Shui,Quest for the Golden Skull 2 - Caves,,6.86,44,1620,05-Aug-2003
2475,Tomo,The last Saga 4,medium,9.51,173,5611,05-Aug-2003
2476,Raven of Asgard,The Temple of Alpha Aaris,easy,6.94,9,2034,04-Aug-2003
2477,Lorane,La Piscine (Swimming Pool),easy,2.13,13,1565,01-Aug-2003
2478,Bibi,Crystal of Life,,6.11,21,1267,30-Jul-2003
2479,Timo Turunen,Ruined Castle,,6.07,14,1106,28-Jul-2003
2480,tombrdr,Beneath the Ancient Temple,,8.36,20,1491,27-Jul-2003
2481,Wall_TR,V4L3R10,,2.45,13,1073,23-Jul-2003
2482,Agnes,Arctic Hole 1,,7.21,24,1579,23-Jul-2003
2483,StormChaser,Nightmare Castle,,8.30,16,1515,21-Jul-2003
2484,Will Gell,The Skull of Dunelie,,8.94,22,2226,19-Jul-2003
2485,DOS,Lost Temple of Vaara,,4.72,14,1096,14-Jul-2003
2486,Lind�n,The Croft Woman Returns,,8.12,21,1385,09-Jul-2003
2487,Titak,Weekly Business - Tuesday,,7.81,21,2605,08-Jul-2003
2488,Palopique,Search for Imhotep 3 - The Awakening,challenging,9.33,53,2355,07-Jul-2003
2489,Ma.ximo,Little Streets of Paris,,5.06,17,1568,05-Jul-2003
2490,Quentin Cartier,Infernal Tower,,8.11,21,1325,05-Jul-2003
2491,SilentViper,Irish Mansion,easy,6.15,15,1506,04-Jul-2003
2492,Igor,Draracles Caves,easy,6.37,9,1930,02-Jul-2003
2493,Nadiutta,Crazy,,5.43,17,1174,30-Jun-2003
2494,L.B.,Hell (L'Enfer),,4.61,34,1274,24-Jun-2003
2495,Wizzkiddo,Decision Jungle,,5.77,21,1217,24-Jun-2003
2496,Titak,Weekly Business - Monday,,5.79,24,3587,24-Jun-2003
2497,Jens Allaert,The Research in the Catacombs,,3.06,18,1150,23-Jun-2003
2498,masha,Castle Riverrun,,8.45,30,2180,23-Jun-2003
2499,Raymond,Challenge of Ba,,7.77,38,1705,20-Jun-2003
2500,tombrdr,Goosebumps,,7.98,27,1488,20-Jun-2003
2501,Vinci,CIL,very challenging,8.46,56,2760,19-Jun-2003
2502,Qunai,CIL,very challenging,8.46,56,2760,19-Jun-2003
2503,Baddy,Atlantis 1,,7.88,26,1776,15-Jun-2003
2504,Agnes,Khal,challenging,6.18,23,1457,15-Jun-2003
2505,MichaelP,Losing your Marbles,challenging,8.78,31,1779,15-Jun-2003
2506,deskj,Home Sweet Home,easy,5.02,17,1368,13-Jun-2003
2507,Tijay,Research Center 3,,7.82,25,1460,13-Jun-2003
